Title,Author,PublishedAt,Description,URL
Australia To Make Big Tech Liable For Citizens' Online Safety,BeauHD,2024-11-15T13:00:00Z,"An anonymous reader quotes a report from Bloomberg: The Australian government plans to enact laws requiring big tech firms to protect its citizens online, the latest move by the center-left Labor administration to crack down on social media including through …",https://yro.slashdot.org/story/24/11/15/0114233/australia-to-make-big-tech-liable-for-citizens-online-safety
Budget Apple Vision Pro could be slimmer and brighter,news@appleinsider.com (William Gallagher),2024-11-06T12:26:17Z,"Apple is still deciding on the displays for its expected lower-cost Apple Vision Pro, but is close to settling on a lower resolution screen that is brighter and also thinner than in the current headset.Inside of Apple Vision ProBack in 2023, it was believed t…",https://appleinsider.com/articles/24/11/06/budget-apple-vision-pro-could-be-slimmer-and-brighter
"There will never be an Apple Ring, says rival with crossed fingers",news@appleinsider.com (William Gallagher),2024-11-13T11:58:58Z,"The CEO of smart ring firm Oura has detailed the reasons there shouldn't be an Apple Ring, but sounds like he's hoping Apple is listening.Render of a possible Apple RingOh, just bring out a ring already. Apple Ring has been rumored for years, but in the last …",https://appleinsider.com/articles/24/11/13/there-will-never-be-an-apple-ring-says-rival-with-crossed-fingers
Apple is Killing Swift – A great language strangled by governance,Jacob Bartlett,2024-10-29T03:49:33Z,A great language strangled by governance,https://blog.jacobstechtavern.com/p/apple-is-killing-swift
Tim Cook and 20 other CEOs met China’s premier to discuss potential issues with Trump plans,Ben Lovejoy,2024-11-25T15:12:00Z,"Apple CEO Tim Cook and more than 20 other chief execs met China’s premier today to discuss potential trade disruption once Trump takes office in January.



However, the report makes it sound like the meeting didn’t achieve much, with some saying it felt scri…",https://9to5mac.com/2024/11/25/tim-cook-and-20-other-ceos-met-chinas-premier-to-discuss-potential-issues-with-trump-plans/
"Apple will now be treated like a bank, says US Consumer Financial Protection Bureau",Ben Lovejoy,2024-11-21T12:09:08Z,"The popularity of Apple Pay will now see the Cupertino company regulated by the US Consumer Financial Protection Bureau (CFPB), a watchdog whose role is normally limited to banks and financial services companies.



The decision means that the bureau will hav…",https://9to5mac.com/2024/11/21/apple-will-now-be-treated-like-a-bank-says-us-consumer-financial-protection-bureau/
Apple Is Reportedly Looking To Develop Its Own Smart Glasses,info@hypebeast.com (Hypebeast),2024-11-06T06:50:36Z,"Apple is looking to new innovative ventures. Following Meta's footsteps, Apple is reportedly looking to develop its own smart glasses. According to Bloomberg, the iPhone maker is moving into AI eyewear after its Apple Vison Pro headset.Apple recently conducte…",https://hypebeast.com/2024/11/apple-developing-own-smart-glasses-reports
"The Rabbit R1 at 6 Months: Surprisingly Smarter, but Still Overshadowed by Our Phones",Lisa Eadicicco,2024-11-12T13:00:00Z,Commentary: The Rabbit R1 is much more functional and capable than it was at launch. But it still feels unnecessary alongside your smartphone.,https://www.cnet.com/tech/mobile/the-rabbit-r1-at-6-months-surprisingly-smarter-but-still-overshadowed-by-our-phones/
Apple to Offer Extra Indonesia Investment to Remove iPhone Ban,Faris Mokhtar,2024-11-05T00:57:59Z,"(Bloomberg) -- Apple Inc. has proposed investing almost $10 million to make additional goods in Indonesia, according to people familiar with the matter, as...",https://finance.yahoo.com/news/apple-offer-extra-indonesia-investment-005759988.html
Apple Tests Blood-Sugar App in Sign of Its Health Ambitions,Mark Gurman,2024-10-25T17:16:02Z,"(Bloomberg) -- Apple Inc., seeking to make further inroads in health care, tested an app this year to help people with prediabetes manage their food intake...",https://finance.yahoo.com/news/apple-tests-blood-sugar-app-171602061.html
Indonesia Blocks Sale of Apple iPhone 16 in Bid For Investment,Claire Jiao,2024-10-28T02:59:05Z,"(Bloomberg) -- Indonesia has blocked Apple Inc. from selling its latest iPhone 16 devices in Southeast Asia’s largest economy, saying the company has yet to ...",https://finance.yahoo.com/news/indonesia-blocks-sale-apple-iphone-025905581.html
Deteriorating building causes road closures in New Orleans,Bella Dardano,2024-11-24T19:25:12Z,The City of New Orleans has announced two street closures due to safety concerns involving a deteriorating building.,https://wgno.com/news/louisiana/orleans-parish/deteriorating-building-causes-road-closures-in-new-orleans/
North Korean Hackers Target macOS Using Flutter-Embedded Malware,info@thehackernews.com (The Hacker News),2024-11-12T13:00:00Z,"Threat actors with ties to the Democratic People's Republic of Korea (DPRK aka North Korea) have been found embedding malware within Flutter applications, marking the first time this tactic has been adopted by the adversary to infect Apple macOS devices.
Jamf…",https://thehackernews.com/2024/11/north-korean-hackers-target-macos-using.html
This AI 2D-to-3D video generator signals a new era for album art,joe.foley@futurenet.com (Joe Foley),2024-11-07T16:26:46Z,Immersity AI can add motion to Apple Music covers.,https://www.creativebloq.com/ai/this-ai-2d-to-3d-video-generator-signals-a-new-era-for-album-art
Haiku OS’s Beta 5 Release Brings Us Into a New BeOS Era,Maya Posch,2024-10-30T17:00:38Z,"The name BeOS is one which tends to evoke either sighs of nostalgia or blank stares, mostly determined by one’s knowledge of the 1990s operating system scene. Originally released in …read more",https://hackaday.com/2024/10/30/haiku-oss-beta-5-release-brings-us-into-a-new-beos-era/
A lawsuit accuses Bain Capital's PowerSchool of trafficking in student data. The edtech giant says everything it does is legal.,Laura Italiano,2024-11-04T10:28:01Z,PowerSchool manages data for more than 60 million students and their educators.,https://www.businessinsider.com/edtech-powerschool-sells-student-data-lawsuit-2024-10
Which stocks are in the Magnificent 7?,Vinamrata Chaturvedi,2024-10-28T11:49:00Z,"The “Magnificent 7” refers to a group of seven high-performing tech stocks that drive much of the market’s growth, particularly during market rallies. These companies have significantly influenced stock market performance, accounting for a large share of the …",https://qz.com/magnificent-7-stocks-aapl-nvda-msft-goog-amzn-meta-tsla-1851681874
Nvidia overtakes Apple as world's most valuable firm,breakingthenews.net,2024-11-05T21:48:17Z,"Nvidia Corporation surpassed Apple Inc. as the world's most valuable business by market capitalization, the Companies Market Cap website showed on Tuesday.According to the calculation, Nvidia's value ...",https://biztoc.com/x/5c39f5c915e018af
"The S&P 500 is about to have a big year, Goldman Sachs says — even without the 'Magnificent 7'",Vinamrata Chaturvedi,2024-11-19T20:11:00Z,"After Morgan Stanley’s (MS) bullish outlook, another financial giant has joined the optimistic chorus for the S&P 500 in 2025. What’s more, it expects the growth of the S&P 500 to occur without relying on the outperformance of the Magnificent Seven, marking a…",https://qz.com/goldman-sachs-s-p-500-magnificent-seven-1851703165
Apple Hospitality REIT: Q3 Earnings Snapshot,finance.yahoo.com,2024-11-04T21:45:52Z,"RICHMOND, Va. (AP) — Apple Hospitality REIT Inc. (APLE) on Monday reported a key measure of profitability in its third quarter. The results matched Wall Street expectations.
The Richmond, Virginia-based real estate investment trust said it had funds from oper…",https://biztoc.com/x/32629fea8972c7a2
Warren Buffett cuts Apple stake as his cash pile hits record $325.2 billion,financialpost.com,2024-11-04T15:30:30Z,"Berkshire Hathaway Inc.’s cash pile reached US$325.2 billion in the third quarter, a record for the conglomerate, as Warren Buffett continued to refrain from major acquisitions while trimming some of his most significant equity stakes.
Berkshire once again cu…",https://biztoc.com/x/21b048f1149625f5
"iOS 18.1 is finally here, but this is not the Apple Intelligence you’ve been looking for",Graham Barlow,2024-10-28T16:54:35Z,The launch of Apple Intelligence is not very Apple at all. We're getting Apple Intelligence a piece at a time.,https://www.techradar.com/computing/artificial-intelligence/ios-18-1-is-finally-here-but-this-is-not-the-apple-intelligence-youve-been-looking-for
That famous artist you love probably isn't as rich as you think,Callie Ahlgrim,2024-11-21T19:17:07Z,"In 2024, artists can't survive on talent or fame alone. Streaming, TikTok, inflation, and the ballooning costs of touring have altered a musician's routes to making money.",https://www.businessinsider.com/why-musicians-arent-making-money-streaming-record-labels-and-tiktok-2024-11
"Apple fiscal Q4 results top estimates amid record iPhone sales, but services miss",investing.com,2024-10-31T21:13:43Z,"Investing.com - Apple reported fiscal fourth-quarter results that topped analyst expectations, underpinned by a record quarter of iPhone sales though its key services business fell short of estimates.
Apple Inc (NASDAQ:AAPL) shares fell more than 1% in afterh…",https://biztoc.com/x/cbb40bc4adda9a4e
"Comparing PayPal, Venmo, Zelle and Cash App, by the numbers",Deena Zaidi,2024-10-29T09:00:00Z,"Peer-to-peer payments are changing the retail landscape, with major names such as Starbucks and Walmart embracing the convenient and flexible payment option. According to a recent report by PYMNTS intelligence, 51% of consumers use P2P payments in the U.S.Rea…",https://qz.com/payments-paypal-venmo-zelle-cash-app-apple-comparison-1851678797
Apple's iOS 18.1 Update Adds 'Inactivity Reboot' To Lock Down Unused iPhones — Here's How It Protects Your Privacy,benzinga.com,2024-11-11T09:54:06Z,"Apple Inc. (NASDAQ:AAPL) has introduced an automatic reboot feature for idle iPhones in its latest iOS 18.1 update to bolster device security. 
What Happened: The new iOS 18.1 update includes a hidden feature that triggers an automatic reboot of an iPhone tha…",https://biztoc.com/x/8bfc6d3336b4bf0d
Nvidia Adds Ex-NASA Space Center Director Ellen Ochoa to Board,Ian King,2024-11-07T22:07:37Z,"(Bloomberg) -- Nvidia Corp., the world’s most valuable company, named NASA veteran Ellen Ochoa as a director, expanding the size of its board to 13 members. ...",https://finance.yahoo.com/news/nvidia-adds-ex-nasa-space-220737762.html
Drake Accuses Universal Music Group and Spotify of “Illegally” Boosting Kendrick Lamar’s “Not Like Us” Streams in New Legal Filing,Nina Corcoran,2024-11-26T01:49:24Z,"Attorneys for Drake’s company, Frozen Moments LLC, claim the label used bots, payments, and more to inflate Lamar’s song",https://pitchfork.com/news/drake-accuses-universal-music-group-and-spotify-of-illegally-boosting-kendrick-lamars-not-like-us-streams-in-new-legal-filing/
Apple might be working on AR smart glasses to compete with Meta,David Uzondu,2024-11-05T13:50:01Z,Apple is looking to enter the smart glasses market by gathering feedback from focus groups to see what users like. Read more...,https://www.neowin.net/news/apple-might-be-working-on-ar-smart-glasses-to-compete-with-meta/
Today in Apple history: Newton MessagePad makes its last stand,Luke Dormehl,2024-11-07T16:15:24Z,"On November 7, 1997, Apple released the Newton MessagePad 2100, a PDA that became the final iteration of the line of early handheld devices.
(via Cult of Mac - Apple news, rumors, reviews and how-tos)",https://www.cultofmac.com/apple-history/newton-messagepad-2100
Strong iPhone sales return Apple to record revenue,Ed Hardy,2024-10-31T20:49:44Z,"Apple's Q4 2024 results reveal record revenue and strong iPhone performance. Get the details on the company's financial success and growth.
(via Cult of Mac - Apple news, rumors, reviews and how-tos)",https://www.cultofmac.com/news/apple-earnings-q4-2024
"Eric Paulsen, WWL anchor of 40+ years, dies after battle with cancer",Christian Olivier,2024-10-26T20:16:49Z,"Eric Paulsen, the legendary WWL news anchor, died on Saturday following a battle with cancer. He served the Greater New Orleans community for over 40 years.",https://wgno.com/news/louisiana/orleans-parish/eric-paulsen-wwl-anchor-of-40-years-dies-after-battle-with-cancer/
"Qualcomm RISCs, Arm Pulls: The Legal Battle for the Future of Client Computing",Babbage,2024-11-16T03:06:29Z,What happens when a gladiator takes on the “Warren Buffett of Japan”?,https://thechipletter.substack.com/p/qualcomm-riscs-arm-pulls-the-legal
Scykei: A rising star in the global wearable market,Staff editor,2024-11-12T13:50:21Z,"NEWS – Scykei Technology, Inc., a New York-based tech brand, announced its mission to challenge the status quo and redefine the technology industry. With a bold vision to become a generation-defining tech company, Scykei is poised to make waves in the wearabl…",https://the-gadgeteer.com/2024/11/12/scykei-a-rising-star-in-the-global-wearable-market/
