Title,Author,PublishedAt,Description,URL
Jeff Bezos Says Washington Post Withheld Endorsement to Address ‘Credibility Gap’,Christopher Palmeri and Hannah Miller / Bloomberg,2024-10-29T02:15:00Z,"The decision set off a firestorm of criticism, internal resignations, and reportedly the cancellation of some 200,000 of the paper’s subscribers.",https://time.com/7113703/jeff-bezos-washington-post-trump-harris-endorsement-explanation-lost-subscribers/
Jackery Explorer 1000 v2 1070Wh LiFePO4 Portable Power Station $349 + Free Shipping,phoinix,2024-11-22T02:34:07Z,"Jackery Inc via Amazon [amazon.com] has *Jackery Explorer 1000 v2 1070Wh LiFePO4 Portable Power Station* for $399 - $50 when you 'clip' the coupon on product page = *$349*. *Shipping is free*. 
...",https://slickdeals.net/f/17911752-349-jackery-explorer-1000-v2-1070wh-lifepo4-portable-power-station-at-amazon?utm_source=rss&utm_content=fp&utm_medium=RSS2
Which stocks are in the Magnificent 7?,Vinamrata Chaturvedi,2024-10-28T11:49:00Z,"The “Magnificent 7” refers to a group of seven high-performing tech stocks that drive much of the market’s growth, particularly during market rallies. These companies have significantly influenced stock market performance, accounting for a large share of the …",https://qz.com/magnificent-7-stocks-aapl-nvda-msft-goog-amzn-meta-tsla-1851681874
"The S&P 500 is about to have a big year, Goldman Sachs says — even without the 'Magnificent 7'",Vinamrata Chaturvedi,2024-11-19T20:11:00Z,"After Morgan Stanley’s (MS) bullish outlook, another financial giant has joined the optimistic chorus for the S&P 500 in 2025. What’s more, it expects the growth of the S&P 500 to occur without relying on the outperformance of the Magnificent Seven, marking a…",https://qz.com/goldman-sachs-s-p-500-magnificent-seven-1851703165
US Startup Buys Just Eat Takeaway’s Grubhub for $650 Million,Joshua Brustein and Charlotte Hughes-Morgan,2024-11-13T07:01:02Z,"(Bloomberg) -- Wonder Group Inc. is buying Grubhub from Just Eat Takeaway.com NV for about $650 million, acquiring the restaurant delivery service at a steep...",https://finance.yahoo.com/news/us-startup-buys-just-eat-061848664.html
DOJ Will Push GOOGLE to Sell Chrome; Break Search Monopoly...,"Leah Nylen, Josh Sisco",2024-11-19T01:49:36Z,Top Justice Department antitrust officials have decided to ask a judge to force Alphabet Inc.’s Google to sell off its Chrome browser in what would be a historic crackdown on one of the world’s biggest tech companies.,https://news.bloomberglaw.com/us-law-week/doj-will-push-google-to-sell-off-chrome-to-break-search-monopoly
"Amazon.com, Inc. (AMZN) Faces Potential EU Antitrust Investigation Over Marketplace Practices, Could Face Hefty Fines",Usman Kabir,2024-11-24T02:06:03Z,"We recently compiled a list of the 15 AI Stocks Making Waves on Wall Street. In this article, we are going to take a look at where Amazon.com, Inc...",https://finance.yahoo.com/news/amazon-com-inc-amzn-faces-020603129.html
Amazon.com (AMZN) Joins Clean Air Task Force in Pushing for AI-Driven Fusion Energy Innovation,Usman Kabir,2024-11-21T13:13:58Z,"We recently compiled a list of the 15 Trending AI Stocks on Latest News. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN)...",https://finance.yahoo.com/news/amazon-com-amzn-joins-clean-131358554.html
"Palantir Overtakes Lockheed Martin In Market Cap, How Does The 'Messi Of AI' Stack Up Against The Traditional Defense Player",Kaustubh Bagalkote,2024-11-12T19:10:15Z,Palantir Technologies Inc.‘s (NYSE:PLTR) market capitalization has exceeded that of traditional defense industry leader Lockheed Martin Corp. (NYSE:LMT...,https://finance.yahoo.com/news/palantir-overtakes-lockheed-martin-market-191015742.html
"Amazon.com, Inc. (AMZN) Partners with Comviva to Develop AI-Driven Cloud Strategy for Non-Linear Growth and SaaS Solutions",,2024-11-13T05:23:51Z,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a6a08d99-ee50-4cd6-aff4-9a2e5c18979d
"Amazon.com, Inc. (AMZN) to Invest Additional $4 Billion in Anthropic, Strengthening AI Partnership with AWS and Trainium Processors",,2024-11-24T16:27:31Z,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_bca00b7f-c1e0-4134-be87-5b333c77fa68
Temu-Owner PDD’s Shares Dive After Warning of Worsening Profit,Bloomberg News,2024-11-21T14:34:59Z,(Bloomberg) -- PDD Holdings Inc.’s shares plunged after warning that its profitability will trend downward over time because of intensifying competition in...,https://finance.yahoo.com/news/temu-owner-pdd-shares-dive-143459397.html
Amazon Investing an Additional $4 Billion in AI Firm Anthropic,Matt Day,2024-11-22T14:19:23Z,"(Bloomberg) -- Amazon.com Inc. is investing an additional $4 billion in artificial intelligence startup Anthropic, boosting its stake in one of OpenAI’s...",https://finance.yahoo.com/news/amazon-investing-additional-4-billion-141923618.html
Nvidia Set to Replace Intel in the Dow Jones Industrial Average,Jeran Wittenstein and Jessica Menton,2024-11-01T23:39:51Z,"(Bloomberg) -- Nvidia Corp., the chipmaker at the heart of the artificial intelligence boom, is joining the oldest of Wall Street’s three main equity...",https://finance.yahoo.com/news/nvidia-set-replace-intel-dow-231147426.html
"Amazon Q3: revenue up 11% YoY to $158.9B, a $15.3B net income vs. $9.9B in Q3 2023, a $17.4B operating income vs. $11.2B in Q3 2023; AMZN jumps 5%+ after hours (Amazon Inc.)",,2024-10-31T20:16:08Z,"Amazon Inc.:
Amazon Q3: revenue up 11% YoY to $158.9B, a $15.3B net income vs. $9.9B in Q3 2023, a $17.4B operating income vs. $11.2B in Q3 2023; AMZN jumps 5%+ after hours  —  Amazon.com, Inc. (NASDAQ:AMZN) today announced financial results for its third qua…",https://mediagazer.com/241031/p22
Nvidia has lots riding on this week even as earnings a month out,Jeran Wittenstein and Carmen Reinicke,2024-10-28T09:44:51Z,"(Bloomberg) -- Nvidia Corp. isn’t expected to announce earnings for another month, but results this week from the chipmaker’s biggest customers are about to ...",https://finance.yahoo.com/news/nvidia-lots-riding-week-even-094451841.html
"Kogan 50"" LED 4K Smart Roku TV $355 Delivered ($325 for FIRST Members) @ Kogan - Black friday sale",TerryJustTerry,2024-11-25T03:42:08Z,"Cheap 4k TV - comes in a couple of sizes.

43"" - $319 (Or $305 for Kogan First member)
50"" - $355 (Or $325 for Kogan First member)
55"" - $449 (Or $429 for Kogan First member)
65"" - $599 (Or $579 for Kogan First member)
75"" - $929 (Or $899 for Kogan First memb…",https://www.ozbargain.com.au/node/879876
Did Jeff Bezos Kill The Kamala Harris Endorsement In Deal With Trump?,Ed Scarce,2024-10-27T15:34:05Z,"The editorial board at the Washington Post had written the endorsement but it was killed by owner Jeff Bezos. The decision has enraged many in the newsroom and now people are asking why. For some, like former editor Robert Kagan, it didn't take much to put tw…",https://crooksandliars.com/2024/10/did-jeff-bezos-kill-kamala-harris
$349*: Jackery Explorer 1000 v2 1070Wh LiFePO4 Portable Power Station at Amazon,phoinix,2024-11-22T00:01:43Z,"Jackery Inc via Amazon [amazon.com] has *Jackery Explorer 1000 v2 1070Wh LiFePO4 Portable Power Station* for $399 - $50 when you 'clip' the coupon on product page = *$349*. *Shipping is free*. 
...",https://slickdeals.net/f/17911752-349-jackery-explorer-1000-v2-1070wh-lifepo4-portable-power-station-at-amazon?utm_source=rss&utm_content=ht&utm_medium=RSS2
Tom Gayner's Strategic Moves in Q3 2024: A Closer Look at Whirlpool Corp's Adjustment,GuruFocus News,2024-11-01T23:02:05Z,Insights into the Investment Shifts of a Prominent Value Investor,https://finance.yahoo.com/news/tom-gayners-strategic-moves-q3-230205793.html
"Amazon.com, Inc. (AMZN) Faces Disruption from Perplexity’s New AI-Powered Shopping Assistant",Insider Monkey,2024-11-21T16:55:18Z,"We recently published a list of 14 Trending AI Stocks on Latest Ratings and News. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN) stands against other trending AI stocks on latest ratings and news. AI startups have raised …",https://finance.yahoo.com/news/amazon-com-inc-amzn-faces-165518328.html
What the Latest Dow Shakeup Could Mean,Rocky White,2024-11-05T23:56:19Z,Inclusion into the prestigious Dow 30 doesn't necessarily mean outsized gains suddenly,https://finance.yahoo.com/news/latest-dow-shakeup-could-mean-235619789.html
EVGA X12 Dual Sensor 16K DPI Wired Gaming Mouse $8.99 at Amazon & Newegg,johnny_miller,2024-11-22T05:06:49Z,"Available at:
Amazon [amazon.com] (Black)Shipping is free w/ Prime or $35+

Newegg (Black [newegg.com] or White [newegg.com])Shipping is free

Newegg Inc. via Walmart (Black [walmart.com] or White [w",https://slickdeals.net/f/17912844-evga-x12-dual-sensor-16k-dpi-wired-gaming-mouse-8-99-at-amazon-newegg?utm_source=rss&utm_content=ht&utm_medium=RSS2
MOTOPOWER OBD2 Car Code Reader Diagnostic Scan Tool $8.98 + Free Shipping w/ Prime or on $35+,Meowssi,2024-11-05T18:37:20Z,*MOTOPOWER INC via Amazon [amazon.com]* has via Lightning Deal: *MOTOPOWER OBD2 Car Code Reader Diagnostic Scan Tool* on sale for *$8.98 *when you 'clip' the 10% off coupon on product page & when you...,https://slickdeals.net/f/17866527-motopower-obd2-car-code-reader-diagnostic-scan-tool-8-98-free-shipping-w-prime-or-on-35?utm_source=rss&utm_content=ht&utm_medium=RSS2
