Title,Author,PublishedAt,Description,URL
Alibaba Is Said to Consider Offering $5 Billion of Bonds,"Pei Li, Dong Cao and Jackie Cai",2024-11-15T09:54:11Z,(Bloomberg) -- Chinese tech conglomerate Alibaba Group Holding Ltd. is considering an offering of bonds totaling the equivalent of about $5 billion as soon...,https://finance.yahoo.com/news/alibaba-said-consider-offering-5-095411997.html
Alibaba Signals More Confidence as International Arm Grows 35%,Bloomberg News,2024-11-15T12:22:42Z,"(Bloomberg) -- Alibaba Group Holding Ltd. reported solid growth in businesses including its international and cloud divisions, helping to offset some of the ...",https://finance.yahoo.com/news/alibaba-signals-more-confidence-international-122242457.html
"Alibaba to Offer Notes for Debt Repayment, Share Repurchases",Wei Zhou,2024-11-18T02:55:18Z,(Bloomberg) -- Alibaba Group Holding Ltd. has hired banks to sell dollar and yuan bonds that will be used to pay back offshore debt and buy back shares...,https://finance.yahoo.com/news/alibaba-offer-notes-debt-repayment-025518684.html
Alibaba Anoints New E-Commerce Chief in Overhaul of Stalling Arm,Bloomberg News,2024-11-21T10:25:57Z,"(Bloomberg) -- Alibaba Group Holding Ltd. has appointed a veteran executive the overseer of its entire online e-commerce operation, setting in motion a major...",https://finance.yahoo.com/news/alibaba-anoints-e-commerce-chief-102557144.html
Analyst Report: Alibaba Group Holding Ltd,,2024-11-18T17:35:17Z,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_8c0c46ad-468a-4626-8f3d-0eb46fcb1628
Sea Shares Hit Two-Year Peak After Shopping Arm Posts Profit,finance.yahoo.com,2024-11-13T04:52:01Z,"In This Article:
(Bloomberg) -- Sea Ltd.’s stock soared to its highest in more than two years after its e-commerce business returned to adjusted profit, a sign it’s holding its own against bigger Chinese rivals like Alibaba Group Holding Ltd.
Most Read from B…",https://biztoc.com/x/e0ff2eaebd9f6a14
"Market Update: HP, BABA, CARR",,2024-11-18T17:20:17Z,"Find the latest Alibaba Group Holding Limited (BABA) stock forecast based on top analyst's estimates, plus more investing and trading data from Yahoo Finance",https://finance.yahoo.com/research/reports/ARGUS_41858_MarketUpdate_1731950417000/
"Alibaba raises US$5 billion from dual-currency bond issue, boosting Hong Kong's hub status",South China Morning Post,2024-11-20T09:30:00Z,"Alibaba Group Holding raised US$5 billion from a multi-tranche dual-currency bond offering, the Chinese e-commerce giant said on Wednesday, an initiative...",https://finance.yahoo.com/news/alibaba-raises-us-5-billion-093000690.html
"Sea Tops Profit Estimates After Fending Off TikTok, Lazada",Olivia Poh and Gao Yuan,2024-11-12T11:56:32Z,"(Bloomberg) -- Sea Ltd.’s e-commerce arm turned its first quarterly profit on an adjusted basis, a sign it’s holding its own against bigger Chinese rivals in...",https://finance.yahoo.com/news/sea-tops-profit-estimates-fending-113521389.html
Singapore's Synagistics: Hong Kong's first de-SPAC listing a milestone for stock exchange,South China Morning Post,2024-10-28T09:30:00Z,Hong Kong's listing reform marks a historic milestone this week as an overseas company becomes the first to list here via a merger with a blank-cheque...,https://finance.yahoo.com/news/singapores-synagistics-hong-kongs-first-093000214.html
Brooklyn Magazine Relaunches As BKMag After BSE Global Acquisition,Mark Stenberg,2024-11-04T12:00:00Z,"The entertainment company BSE Global, which owns the Brooklyn Nets, New York Liberty, and Barclays Center, relaunched the independent publisher Brooklyn Magazine as BKMag on Monday after first acquiring the title in March. The relaunch is the first step in a …",https://www.adweek.com/media/bse-acquires-brooklyn/
Alibaba Sells First Dollar Bonds Since 2021,Will Kubzansky,2024-11-20T03:15:20Z,"(Bloomberg) -- Alibaba Group Holding Ltd. sold its first public dollar bonds in nearly four years, part of a dual-currency transaction by the Chinese...",https://finance.yahoo.com/news/alibaba-sells-first-dollar-bonds-215446932.html
Alibaba to pay $433.5 million to settle shareholder lawsuit over monopoly claims,Reuters,2024-10-26T03:58:14Z,"Alibaba denied wrongdoing, saying it entered the settlement to avoid the cost and disruption of further litigation.  The proposed settlement was filed in...",https://www.yahoo.com/tech/alibaba-pay-433-5-million-035814159.html
Alibaba cuts 'dozens of employees' at metaverse unit as hype in sector cools down,South China Morning Post,2024-11-03T09:30:00Z,"Alibaba Group Holding is scaling down its metaverse operations, according to a source familiar with the matter, making it the latest Big Tech company to pull...",https://finance.yahoo.com/news/alibaba-cuts-dozens-employees-metaverse-093000844.html
Temu-Owner PDD’s Shares Dive After Warning of Worsening Profit,Bloomberg News,2024-11-21T14:34:59Z,(Bloomberg) -- PDD Holdings Inc.’s shares plunged after warning that its profitability will trend downward over time because of intensifying competition in...,https://finance.yahoo.com/news/temu-owner-pdd-shares-dive-143459397.html
"China Market Update: Real Estate Prices & Transaction Volume Rebound In October, Week In Review","Brendan Ahern, Senior Contributor, 
 Brendan Ahern, Senior Contributor
 https://www.forbes.com/sites/brendanahern/",2024-11-01T15:07:23Z,Asian equities were lower overnight though Hong Kong and Malaysia managed small gains as the US dollar strengthened while Apple’s financial results weighed on regional technology plays.,https://www.forbes.com/sites/brendanahern/2024/11/01/china-market-update-real-estate-prices--transaction-volume-rebound-in-october-week-in-review/
