Title,Author,PublishedAt,Description,URL
Election Day is a holiday for Detroit 3; GM and Ford seek volunteers for some production,"Jamie L. LaReau and Eric D. Lawrence, Detroit Free Press",2024-11-01T10:07:05Z,The Detroit automakers have made Election Day a holiday since 1999.,https://www.freep.com/story/money/cars/2024/11/01/detroit-three-automakers-election-day-holiday-volunteers/75960563007/
Ford lost $3.7B on its EV sales,,2024-11-21T03:51:15Z,Ford lost $3.7 billion on its EV sales,https://www.mackinac.org/blog/2024/the-market-speaks-against-electric-vehicles
Ford 'actively investigating' after employee data allegedly parked on leak site,Jessica Lyons,2024-11-18T23:58:08Z,"Plus: Maxar Space Systems confirms employee info stolen in digital intrusion
Ford Motor Company says it is looking into allegations of a data breach after attackers claimed to have stolen an internal database containing 44,000 customer records and dumped the …",https://www.theregister.com/2024/11/18/ford_actively_investigating_breach/
"Jeep, Ram EREVs will get 690-mile range with new Stellantis platform",Nick Godt,2024-11-20T15:48:50Z,Stellantis' new platform aims to deliver driving range of up to 690 miles for extended range electric vehicles.,https://www.digitaltrends.com/cars/jeep-ram-erevs-690-mile-range-platform/
"No, Elon Musk's Tesla didn't buy Ford",William Gavin,2024-11-11T13:19:00Z,"Despite what content farms on YouTube and other platforms want you to believe, Elon Musk’s Tesla (TSLA) is not buying Ford Motor Co. (F) Read more...",https://qz.com/elon-musk-tesla-ford-ai-jeep-stellantis-fact-check-1851694625
Modellista brings insane overlanding capabilities to Land Cruiser 2025 that’s dressed to impress,Gaurav Sood,2024-11-10T21:45:14Z,"Modellista brings insane overlanding capabilities to Land Cruiser 2025 that’s dressed to impressAt SEMA 2024 the newly launched Toyota Land Cruiser 2025 model saw a chunky makeover thanks to the in-house bred Japanese aftermarket company Modellista, a...",https://www.yankodesign.com/2024/11/10/modellista-brings-insane-overlanding-capabilities-to-land-cruiser-2025-thats-dressed-to-impress/
Ford stock is sinking after supplier issues and high costs lowered its 2024 forecast,William Gavin,2024-10-29T12:35:00Z,Ford Motor Co. shares are trading lower in the pre-market Tuesday after it told investors to expect 2024 earnings to hit the low end of its forecast. Read more...,https://qz.com/ford-stock-full-year-profit-q3-earnings-2024-gm-1851683615
"Tesla is now worth more than GM, Ford, Toyota, and other car companies — combined",William Gavin,2024-11-13T22:32:00Z,"Tesla (TSLA) stock has been on a tear lately, reaching a $1 trillion market capitalization. The company is now bigger than a solid chunk of other major auto companies — combined.Read more...",https://qz.com/tesla-value-market-cap-elon-musk-donald-trump-1851697794
Ford got hit with two new federal investigations just days after paying a $165 million fine,William Gavin,2024-11-18T18:31:00Z,Federal auto safety regulators on Monday announced two new investigations into Ford Motor Co. (F) — just days after fining the automaker with the second-largest penalty in history for delaying recalls. Read more...,https://qz.com/ford-nhtsa-investigation-bronco-sport-maverick-f150-1851702029
Elon Musk Bought Ford?,Jack Izzo,2024-11-14T20:33:00Z,"In November 2024, Tesla CEO Elon Musk announced that he had bought Ford Motor Company.",https://www.snopes.com//fact-check/elon-musk-buys-ford/
