Title,Author,PublishedAt,Description,URL
Lyft Teams With Mobileye in Series of Autonomous Driving Deals,Natalie Lung,2024-11-06T14:00:00Z,"(Bloomberg) -- Lyft Inc. announced three new partnerships with autonomous driving technology vendors, including Intel Corp. spinoff Mobileye Global Inc., as ...",https://finance.yahoo.com/news/lyft-teams-mobileye-series-autonomous-140000421.html
Case Study: How Rising Vehicle Prices Affect Consumers,"Bill Koenig, Contributor, 
 Bill Koenig, Contributor
 https://www.forbes.com/sites/billkoenig/",2024-11-05T23:33:46Z,"Once upon a time, automakers made cars intended to be affordable. Today? Not so much.",https://www.forbes.com/sites/billkoenig/2024/11/05/case-study-how-rising-vehicle-prices-affect-consumers/
These Five Stocks Are Hedge-Fund Favorites,"John Dorfman, Contributor, 
 John Dorfman, Contributor
 https://www.forbes.com/sites/johndorfman/",2024-10-28T13:15:00Z,"From among some stocks that are favorite holdings of hedge funds, I've selected five that have consistent growth and sell for less than 15 times earnings.",https://www.forbes.com/sites/johndorfman/2024/10/28/these-five-stocks-are-hedge-fund-favorites/
Toyota to close joint venture sales base in Beijing,,2024-11-25T21:55:43Z,"Toyota Motor Corp is considering closing the sales base of its Chinese joint venture in Beijing and consolidating it with another base in Tianjin as part of restructuring efforts amid intensifying competition with local brands, sources familiar with the matte…",https://japantoday.com/category/business/toyota-to-close-jv-sales-base-in-beijing-amid-stiff-competition
Toyota ready to test hydrogen-electric van,Kyodo News,2024-11-16T14:49:00Z,"<p>Toyota Motor Corp says it plans to begin public road tests of a commercial van in Australia next spring, aiming to roll out what could be the world&rsquo;s first vehicle powered by both a hydrogen engine and an electric motor.</p>",https://www.bangkokpost.com/business/motoring/2903316/toyota-ready-to-test-hydrogen-electric-van
"Toyota, NTT to team up on AI-aided driving software to curb accidents",,2024-10-31T21:42:30Z,"Toyota Motor Corp and Nippon Telegraph and Telephone Corp said Thursday they will join hands to develop a platform using artificial intelligence-supported driving software aimed at reducing vehicle accidents. Japan's auto and telecommunications giants, which …",https://japantoday.com/category/tech/toyota-ntt-to-team-up-on-ai-aided-driving-software-to-curb-accidents
Toyota and Joby complete first air taxi flight in Japan,,2024-11-04T21:35:00Z,"Toyota Motor Corp and Joby Aviation Inc, a company developing electric air taxis for commercial passenger service, on Monday announced the completion of Joby’s first international exhibition flight which took place at Toyota’s Higashi-Fuji Technical Center in…",https://japantoday.com/category/business/toyota-and-joby-complete-first-air-taxi-flight-in-japan
[Removed],,2024-11-06T08:01:11Z,[Removed],https://removed.com
Toyota 1st-half global output drops 7%; 1st fall in 4 years,,2024-10-30T07:39:10Z,"Toyota Motor Corp said Wednesday its global production fell 7.0 percent from a year earlier in the April-September period, marking the first drop in four years, as a quality scandal and weaker sales in China dented both domestic and overseas output. The Japan…",https://japantoday.com/category/business/Toyota-1st-half-global-output-drops-7-1st-fall-in-4-years
[Removed],,2024-10-28T08:45:43Z,[Removed],https://removed.com
"Japanese automaker Nissan cuts 9,000 jobs as its vehicles fail to sell",YURI KAGEYAMA,2024-11-07T09:38:09Z,"Nissan reported Thursday a loss for the latest fiscal quarter as its vehicle sales sank while costs and inventory ballooned, prompting the Japanese automaker...",https://finance.yahoo.com/news/japanese-automaker-nissan-cuts-9-093809582.html
Honda reports lower profits as China sales decline,,2024-11-06T21:46:39Z,"Honda’s profits slipped nearly 20% in the first half of the fiscal year from the same period the previous year, as sales suffered in China, the Japanese automaker said Wednesday. Honda Motor Co.’s April-September profits totaled 494.68 billion yen ($3.2 billi…",https://japantoday.com/category/business/honda-reports-lower-profits-as-china-sales-decline
[Removed],,2024-11-07T09:38:09Z,[Removed],https://removed.com
"Toyota Global Production Falls 7% in First Half of Year, Hit by Certification Issues and China Slowdown",,2024-10-31T05:03:19Z,"Toyota Motor Corp. announced that its global production from April to September fell by 7% compared to the previous year, totaling 4,705,037 units. This is the first time in four years that production figures have fallen below the prior year's results. (News …",https://newsonjapan.com/article/144000.php
"Compact Pick-Up Trucks Market to exceed $43.7 Bn by 2032, Says Global Market Insights Inc.",Global Market Insights Inc.,2024-10-29T10:30:00Z,"Major compact pick-up trucks market participants include Ashok Leyland, Tata Motors, General Motors Company, Dongfeng Motor Corporation, Honda Motor Co., Ltd., China FAW Group Corp., Ltd., Ford Motor Company, Hyundai Motor Corporation, Toyota Motor Corporatio…",https://www.globenewswire.com/news-release/2024/10/29/2970613/0/en/Compact-Pick-Up-Trucks-Market-to-exceed-43-7-Bn-by-2032-Says-Global-Market-Insights-Inc.html
Japan records trade deficit for 4th straight month despite export recovery,,2024-11-20T07:42:37Z,"Japan racked up a trade deficit in October for a fourth straight month as a weak yen and rising energy prices kept import costs high. The trade deficit, which amounts to a nation’s imports subtracted from its exports, totaled 461 billion yen last month, the F…",https://japantoday.com/category/business/japan-records-trade-deficit-for-the-fourth-month-straight-despite-export-recovery
Companies Are Dropping the D or E From DEI to Avoid Criticism,Admin,2024-11-01T05:06:02Z,"After a backlash against DEI programs by conservative activists, a majority of executives in a new survey said that their companies have changed how the initiatives are described with reduced emphasis on racial diversity. Among more than 60 executives, slight…",https://www.insurancejournal.com/news/national/2024/11/01/799416.htm
"Automakers urge Trump to preserve EV tax credits, boost self-driving cars",reuters.com,2024-11-21T19:55:31Z,"A group representing major automakers including General Motors , Toyota Motor Corp , and Volkswagen urged President-elect Donald Trump to retain key tax credits for electric vehicle purchases and take steps to speed deployment of self-driving cars.",https://biztoc.com/x/828e2ed430df9f59
"Hit by scandal, Japan's top automaker Toyota reports lower profits",aol.com,2024-11-06T06:41:24Z,"Toyota’s July-September profit sank to less than half of what it was in the same period the previous year, as a production stoppage that followed a certification scandal and recalls dented vehicle sales, the Japanese automaker said Wednesday.
Toyota Motor Cor…",https://biztoc.com/x/6d48d928625c3637
"Toyota aims to ramp up China production in a strategy pivot, sources say",Reuters,2024-11-11T03:05:38Z,"Toyota aims to ramp up China production in a strategy pivot, sources say",https://www.investing.com/news/stock-market-news/toyota-aims-to-ramp-up-china-production-in-a-strategy-pivot-sources-say-3713487
Japan records trade deficit for the fourth month straight despite export recovery,YURI KAGEYAMA AP business writer,2024-11-20T02:22:17Z,"Japan racked up a trade deficit in October for the fourth month in a row, as a weak yen and the rising price of energy kept import costs high",https://abcnews.go.com/International/wireStory/japan-records-trade-deficit-fourth-month-straight-despite-116031639
Honda Still Optimistic About Sales Despite Weak Second Quarter,Bloomberg News,2024-11-06T04:55:28Z,Honda Motor Co. raised its full-year guidance despite turning in second-quarter results that fell short of analyst estimates. Its shares slumped as much as 8.2%.,https://financialpost.com/pmn/business-pmn/honda-still-optimistic-about-sales-despite-weak-second-quarter
"Exclusive-Toyota aims to ramp up China production in a strategy pivot, sources say",Reuters,2024-11-09T09:45:52Z,"Exclusive-Toyota aims to ramp up China production in a strategy pivot, sources say",https://www.investing.com/news/stock-market-news/exclusivetoyota-aims-to-ramp-up-china-production-in-a-strategy-pivot-sources-say-3713249
Boeing Dismantles DEI Team as Pressure Builds on New CEO,Admin,2024-11-05T12:55:02Z,"Boeing Co. has dismantled its global diversity, equity and inclusion department, making it the latest high-profile corporation to make changes to its DEI policy as its new top leader oversees a broader revamp of the company’s workforce. Staff from Boeing’s …",https://www.insurancejournal.com/news/national/2024/11/05/800130.htm
Toyota said to ramp up China production in a strategy pivot,Reuters,2024-11-11T02:49:35Z,"Toyota is planning a major shift in its China strategy, aiming to produce up to 3 million vehicles annually by 2030. This represents a significant increase from its current production levels and comes as other foreign automakers are scaling back in the region.",https://economictimes.indiatimes.com/news/international/business/toyota-said-to-ramp-up-china-production-in-a-strategy-pivot/articleshow/115159301.cms
Japanese automaker Honda reports lower profits as China sales decline,YURI KAGEYAMA AP business writer,2024-11-06T11:37:15Z,"Honda said its profits slipped nearly 20% in the first half of the fiscal year from the same period the previous year, as sales suffered in China, the Japanese automaker",https://abcnews.go.com/Business/wireStory/japanese-automaker-honda-reports-lower-profits-china-sales-115554083
"Nissan’s Overly Ambitious Goals Fuel Investor, Supplier Distrust",list.metadata.agency,2024-11-21T22:40:57Z,"Carmaker has met sales targets just once in past nine years, as Ghosn-era practice of over-promising on goals still lingers",https://www.livemint.com/companies/news/nissans-overly-ambitious-goals-fuel-investor-supplier-distrust-11732228858037.html
"Collision Avoidance System Market Forecasts from 2024 to 2029: Consumer Awareness, Updated Safety Agency Ratings, and Continuous R&D Driving Growth",Research and Markets,2024-10-28T09:45:00Z,"Dublin, Oct. 28, 2024 (GLOBE NEWSWIRE) -- The ""Collision Avoidance System Market - Forecasts from 2024 to 2029"" report has been added to ResearchAndMarkets.com's offering.The collision avoidance system market is expected to grow at a CAGR of 8.42%, reaching a…",https://www.globenewswire.com/news-release/2024/10/28/2969870/28124/en/Collision-Avoidance-System-Market-Forecasts-from-2024-to-2029-Consumer-Awareness-Updated-Safety-Agency-Ratings-and-Continuous-R-D-Driving-Growth.html
Toyota says California-led EV mandates are 'impossible' as states fall short of goal,,2024-11-08T17:53:32Z,"CARB's regulations call for 35% of 2026 model year vehicles, which will begin to be introduced next year, to be zero-emission vehicles (ZEV).",https://www.cnbc.com/2024/11/08/toyota-california-ev-mandates-impossible.html
"Global Markets Rise as Japan's Ruling Party Loses Majority, Yen Dips",Shamim Chowdhury,2024-10-28T15:19:06Z,"Global shares rise, buoyed by a weakened yen and Japan's recent parliamentary elections, when the ruling party lost its majority.",https://www.newsweek.com/global-markets-rise-japan-ruling-party-loses-majority-yen-dips-1975823
Japan records trade deficit for the fourth month straight despite export recovery,The Associated Press,2024-11-20T01:40:56Z,"TOKYO (AP) — Japan racked up a trade deficit in October for a fourth straight month as a weak yen and the rising price of energy kept import costs high. The trade deficit, which amounts to a nation’s imports subtracted from its exports, totaled 461 billion ye…",https://financialpost.com/pmn/japan-records-trade-deficit-for-the-fourth-month-straight-despite-export-recovery
"Nissan slashes 9,000 jobs, cuts production by 20% amid 94% income drop, CEO to take 50% pay cut",Livemint,2024-11-08T05:07:14Z,"Nissan Motor Co.’s struggles to cope with tougher car industry conditions and address internal weaknesses have spiralled, leaving the automaker no choice but to slash payroll, production and its forecasts for this fiscal year. Nissan CEO Makoto Uchida to forf…",https://www.livemint.com/companies/news/nissan-slashes-9-000-jobs-cuts-production-by-20-amid-94-income-drop-ceo-to-take-50-pay-cut-11731029388567.html
Mercedes and Porsche’s fight with China is coming close to home,"William Wilkes, Chunying Zhang, Bloomberg",2024-10-28T13:15:47Z,Manufacturers led by BYD have opened a new front in the fight for dominance of the auto industry by redefining “Made in China” as a global symbol of luxury for the electric-vehicle age.,https://fortune.com/asia/2024/10/28/mercedes-porsche-fight-china-byd-coming-close-to-home/
중국의 부동산 침체와 Donald Trump 관세가 일으킬 무역전쟁,T.B,2024-10-30T07:01:37Z,"Thailand’s authorities have made a tentative agreement to keep the inflation target at 1% to 3% for next year https://t.co/mIWSsfD4t7— Bloomberg Asia (@BloombergAsia) October 29, 2024 태국에서 정부와 중앙은행(Bank of Thailand, BOT) 간 국가 인플레이션 타깃에 대한 논의가 진행 중입니다. 태국 재무장관…",https://ryueyes11.tistory.com/511200
"Automakers urge Trump to preserve EV tax credits, boost self-driving cars",Reuters,2024-11-21T19:50:41Z,"Automakers urge Trump to preserve EV tax credits, boost self-driving cars",https://www.investing.com/news/stock-market-news/automakers-urge-trump-to-preserve-ev-tax-credits-boost-selfdriving-cars-3735817
Japan records trade deficit for the fourth month straight despite export recovery,YURI KAGEYAMA AP business writer,2024-11-20T02:06:20Z,"Japan racked up a trade deficit in October for the fourth month in a row, as a weak yen and the rising price of energy kept import costs high",https://abcnews.go.com/Business/wireStory/japan-records-trade-deficit-fourth-month-straight-despite-116031640
The Biden-Harris Race-Preference Regime,Wall Street Journal,2024-11-09T12:30:03Z,"Tuesday’s election was notable for its national turn to the political right, and believe it or not that was true even in states governed by the left. Voters in California, Oregon and elsewhere used direct democracy to reject several bad ideas while adopting s…",https://freerepublic.com/focus/f-news/4277141/posts
Stock market today: Asian shares rise and the yen dips after Japan's ruling party loses majority,YURI KAGEYAMA AP business writer,2024-10-28T03:34:28Z,"Asian shares rose, as the yen dipped in the midst of political uncertainty after Japan’s ruling party lost its majority in Parliament’s lower house in weekend elections",https://abcnews.go.com/US/wireStory/stock-market-today-asian-shares-rise-yen-dips-115206264
"Asia stocks muted as Trump rally cools; Fed, China stimulus in focus",Investing.com,2024-11-07T02:35:22Z,"Asia stocks muted as Trump rally cools; Fed, China stimulus in focus",https://www.investing.com/news/stock-market-news/asia-stocks-muted-as-trump-rally-cools-fed-china-stimulus-in-focus-3707219
Stock market today: Asian shares rise and the yen dips after Japan’s ruling party loses majority,The Associated Press,2024-10-28T02:58:29Z,"TOKYO (AP) — Asian shares rose Monday, as the yen dipped in the midst of political uncertainty after Japan’s ruling party lost its majority in Parliament’s lower house in weekend elections. In currency trading, the U.S. dollar rose to 153.76 Japanese yen from…",https://financialpost.com/pmn/stock-market-today-asian-shares-rise-and-the-yen-dips-after-japans-ruling-party-loses-majority
"Trump Plans To Kill The $7,500 EV Tax Credit",Andy Kalmowitz,2024-11-15T15:00:00Z,"Good morning! It’s Friday, November 15, and this is The Morning Shift, your daily roundup of the top automotive headlines from around the world, in one place. Here are the important stories you need to know.Read more...",https://jalopnik.com/trump-plans-kill-the-7-500-ev-tax-credit-1851700096
