Date,Open,High,Low,Close,Volume
2024-11-26,173.2,173.43,172.31,172.52,397430
2024-11-25,175.87,176.56,175.17,175.83,347925
2024-11-22,172.75,174.78,172.64,174.4,369057
2024-11-21,173.05,174.26,172.98,173.38,314749
2024-11-20,173.77,174.21,171.77,172.91,295507
2024-11-19,175.2,176.09,175.0,175.39,254581
2024-11-18,173.0,175.82,172.8444,174.78,289389
2024-11-15,173.23,173.55,171.78,172.84,282329
2024-11-14,173.27,174.64,173.0137,173.48,424919
2024-11-13,172.31,172.92,171.29,172.35,268587
2024-11-12,175.84,176.72,173.86,174.99,324742
2024-11-11,172.48,174.8,172.48,174.1,310349
2024-11-08,174.35,174.54,171.8,172.03,504146
2024-11-07,179.0,179.6788,177.26,178.45,638020
2024-11-06,175.25,176.0,172.02,175.15,633028
2024-11-05,173.01,174.81,172.64,174.73,353403
2024-11-04,173.0,173.89,172.29,172.7,253412
2024-11-01,172.68,173.69,172.27,172.83,234233
2024-10-31,174.64,174.64,172.2,173.02,235011
2024-10-30,176.25,176.33,175.2,175.21,222769
2024-10-29,176.5,177.15,175.64,176.03,357259
2024-10-28,175.7,176.88,175.3095,176.63,457277
2024-10-25,171.9,173.0,171.59,172.0,273877
2024-10-24,170.37,171.4045,169.3,170.43,288576
2024-10-23,172.0,172.36,170.33,171.33,398124
2024-10-22,169.58,170.2999,169.29,169.93,393126
2024-10-21,170.1,170.2599,168.655,169.17,420176
2024-10-18,171.7,171.925,170.6924,171.53,400413
2024-10-17,172.48,172.77,171.1,171.2,516184
2024-10-16,170.76,171.8,170.51,171.5,508130
2024-10-15,171.605,171.6823,169.31,169.55,858871
2024-10-14,174.22,175.39,174.08,175.1,316342
2024-10-11,172.06,174.52,171.8,174.06,344600
2024-10-10,172.84,174.58,172.76,174.35,241574
2024-10-09,172.88,174.36,171.8,173.99,416309
2024-10-08,175.73,176.99,174.65,175.76,326089
2024-10-07,177.79,178.22,176.855,177.32,228881
2024-10-04,178.3,180.51,177.96,180.02,309545
2024-10-03,176.92,176.92,175.3901,176.17,394835
2024-10-02,179.0,180.61,178.55,180.5,295144
2024-10-01,179.98,179.98,176.87,178.06,391166
2024-09-30,179.44,179.82,177.37,178.57,458900
2024-09-27,184.37,185.19,181.7,182.82,575172
2024-09-26,188.55,190.44,188.4654,189.36,449748
2024-09-25,184.01,184.8375,183.5,184.16,213818
2024-09-24,183.11,184.87,183.11,183.53,284990
2024-09-23,184.75,185.81,184.13,185.4,357927
2024-09-20,184.58,184.92,182.5429,184.07,534072
2024-09-19,184.29,184.68,183.0001,183.47,494500
2024-09-18,175.66,178.52,175.66,176.71,563819
2024-09-17,172.38,174.59,171.32,173.15,502580
2024-09-16,175.71,176.61,175.0683,176.23,274319
2024-09-13,174.99,176.18,174.86,175.39,217804
2024-09-12,175.56,177.195,174.305,176.18,267808
2024-09-11,172.39,174.85,170.51,174.69,415192
2024-09-10,174.73,175.79,171.6,174.18,479244
2024-09-09,175.6,177.0899,174.58,176.08,408351
2024-09-06,181.19,181.55,176.8881,177.18,288730
2024-09-05,182.79,183.41,181.77,182.8,224551
2024-09-04,183.92,185.94,183.62,184.71,217970
2024-09-03,187.8,189.7,185.595,186.15,329844
2024-08-30,190.0,190.65,188.4,189.8,240715
2024-08-29,188.11,189.15,187.35,187.77,215603
2024-08-28,189.6,190.23,187.135,187.67,366430
2024-08-27,185.36,186.35,185.25,185.75,657287
2024-08-26,180.73,181.825,180.39,180.57,337565
2024-08-23,184.09,186.0,183.5,185.09,241860
2024-08-22,183.37,183.71,181.31,181.5,179895
2024-08-21,184.16,184.3782,182.8,183.62,298350
2024-08-20,182.86,183.63,181.11,181.34,180405
2024-08-19,183.52,183.8,182.72,183.7,242684
2024-08-16,182.24,183.26,182.0,182.67,337340
2024-08-15,181.93,182.32,180.77,181.79,693483
2024-08-14,176.99,178.01,175.94,177.01,350406
2024-08-13,171.05,172.6573,170.77,172.39,429098
2024-08-12,169.0,169.57,167.561,167.97,296537
2024-08-09,167.49,169.48,166.7462,168.59,274487
2024-08-08,169.17,170.1,167.6,169.37,255002
2024-08-07,171.61,172.6,167.06,167.18,444632
2024-08-06,169.91,170.5,167.585,169.6,489778
2024-08-05,160.89,170.95,159.04,168.35,1023943
2024-08-02,173.72,173.89,171.5,173.02,674170
2024-08-01,181.57,184.6799,178.565,179.07,820909
2024-07-31,194.18,194.89,192.9,193.55,372318
2024-07-30,194.96,195.48,192.265,193.11,284277
2024-07-29,193.0,193.2,191.8067,192.48,205888
2024-07-26,190.74,192.84,190.51,192.52,317184
2024-07-25,197.43,197.43,193.73,195.25,212333
2024-07-24,199.79,199.79,197.08,197.2,211404
2024-07-23,200.18,201.33,200.03,200.79,283874
2024-07-22,198.7,200.1487,198.1183,200.14,315548
2024-07-19,199.28,199.28,197.03,197.15,236379
2024-07-18,201.93,202.22,199.54,199.85,292917
2024-07-17,204.73,205.145,203.31,204.39,266398
2024-07-16,206.23,206.8142,205.68,206.6,206038
2024-07-15,208.18,208.21,206.76,206.91,207913
2024-07-12,206.53,208.8599,206.03,207.59,218220
2024-07-11,205.31,205.65,203.73,203.73,246343
2024-07-10,204.63,206.18,203.78,205.88,209204
2024-07-09,203.0,203.19,201.67,201.67,230713
